,ZipCode,Address,LandUse,OwnerType,LotArea,BldgArea,NumBldgs,UnitsRes,UnitsTotal,LotFront,BldgFront,AssessLand,AssessTot,YearBuilt,YearAlter,IfAlter,ResidFAR,CommFAR,FacilFAR,Central Harlem,Chelsea & Clinton,East Harlem,Gramercy Park and Murray Hill,GV & Soho,L Manhattan,L. East Side,U Eest Side,U West Side,WAHI,LandUse_1,LandUse_10,LandUse_11,LandUse_2,LandUse_3,LandUse_4,LandUse_5,LandUse_6,LandUse_7,LandUse_8,LandUse_9,OwnerType_C,OwnerType_M,OwnerType_O,OwnerType_P,OwnerType_X,Population,PopDensity,MedIncome,AvgIncome,PerCapitaIncome,HighIncomeHouse,NumofHouses,NumofCondos,EduRate,UnemployedRate,MarriedRate,DivorcedRate,LandUseStr,Zone
0,10004,1 GOVERNORS ISLAND,8,P,7736692,2725731,158,0,0,0,0,104445450,156510900,1900,0,0,0.6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3089,5516,119691,177262,90205,0.28,2082,1087,0.99,0.061,0.411,0.053,Public Facility,L Manhattan
1,10004,1 LIBERTY ISLAND,8,X,541886,541886,10,0,0,500,0,4225950,12197250,1900,0,0,0.6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3089,5516,119691,177262,90205,0.28,2082,1087,0.99,0.061,0.411,0.053,Public Facility,L Manhattan
6,10004,10 SOUTH STREET,7,C,191502,158197,1,0,0,311,205,18787500,25390080,1900,2014,1,10,3.4,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3089,5516,119691,177262,90205,0.28,2082,1087,0.99,0.061,0.411,0.053,Transp. & Utility,L Manhattan
8,10004,1 PIER 6,7,C,510025,24346,1,0,0,793.67,85,15255450,17134650,1987,0,0,10,3.4,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3089,5516,119691,177262,90205,0.28,2082,1087,0.99,0.061,0.411,0.053,Transp. & Utility,L Manhattan
9,10004,10 BATTERY PARK,9,C,945425,945425,6,0,4,323,89,127100700,129665250,1951,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3089,5516,119691,177262,90205,0.28,2082,1087,0.99,0.061,0.411,0.053,Open Space,L Manhattan
19,10004,28 WATER STREET,4,P,769,4104,1,0,3,19,19,247500,327600,1920,0,0,10,15,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3089,5516,119691,177262,90205,0.28,2082,1087,0.99,0.061,0.411,0.053,Resi. & Cml.,L Manhattan
22,10004,105 BROAD STREET,4,P,1512,7475,1,0,7,36.17,36,540000,943650,1935,0,0,10,15,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3089,5516,119691,177262,90205,0.28,2082,1087,0.99,0.061,0.411,0.053,Resi. & Cml.,L Manhattan
26,10004,60 PEARL STREET,4,P,1491,7485,1,3,5,28.42,28,88595,535090,1900,0,0,10,15,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3089,5516,119691,177262,90205,0.28,2082,1087,0.99,0.061,0.411,0.053,Resi. & Cml.,L Manhattan
29,10004,32 PEARL STREET,5,P,5598,46724,1,0,1,78.92,78,1035000,6046650,1950,2009,1,10,15,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3089,5516,119691,177262,90205,0.28,2082,1087,0.99,0.061,0.411,0.053,Cml. & Office,L Manhattan
33,10004,34 WHITEHALL STREET,5,P,29481,845018,1,0,9,211.33,210,23895000,138236850,1970,2002,1,10,15,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3089,5516,119691,177262,90205,0.28,2082,1087,0.99,0.061,0.411,0.053,Cml. & Office,L Manhattan
