,AssessTot,LotArea,BldgArea,LotFront,BldgFront,ResidFAR,CommFAR,FacilFAR,YearBuilt,IfAlter,Central Harlem,Chelsea and Clinton,East Harlem,Gramercy Park and Murray Hill,Greenwich Village and Soho,Lower Manhattan,Lower East Side,Upper East Side,Upper West Side,Inwood and Washington Heights,LandUse_01,LandUse_02,LandUse_03,LandUse_04,LandUse_05,LandUse_06,LandUse_07,LandUse_08,LandUse_09,LandUse_10,OwnerType_C,OwnerType_M,OwnerType_O,OwnerType_P,OwnerType_X
0,156510900.0,7736692.0,2725731.0,0.0,0.0,0.6,0.0,1.0,1900.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,12197250.0,541886.0,541886.0,500.0,0.0,0.6,0.0,1.0,1900.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
6,25390080.0,191502.0,158197.0,311.0,205.0,10.0,3.4,10.0,1900.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
8,17134650.0,510025.0,24346.0,793.67,85.0,10.0,3.4,10.0,1987.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
9,129665250.0,945425.0,945425.0,323.0,89.0,0.0,0.0,0.0,1951.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
19,327600.0,769.0,4104.0,19.0,19.0,10.0,15.0,15.0,1920.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
22,943650.0,1512.0,7475.0,36.17,36.0,10.0,15.0,15.0,1935.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
26,535090.0,1491.0,7485.0,28.42,28.0,10.0,15.0,15.0,1900.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
29,6046650.0,5598.0,46724.0,78.92,78.0,10.0,15.0,15.0,1950.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
33,138236850.0,29481.0,845018.0,211.33,210.0,10.0,15.0,15.0,1970.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
34,2866050.0,6037.0,8685.0,60.75,60.0,10.0,15.0,15.0,1954.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
35,59250600.0,23080.0,544015.0,227.83,176.0,10.0,15.0,15.0,1987.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
36,67492800.0,39985.0,896956.0,133.92,131.0,10.0,15.0,15.0,1971.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
38,37711350.0,13214.0,365792.0,81.92,58.0,10.0,15.0,15.0,1986.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
40,27268650.0,15445.0,336025.0,121.33,121.0,10.0,15.0,15.0,1930.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
42,24878700.0,18729.0,321994.0,121.75,122.0,10.0,15.0,15.0,1962.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
45,167409450.0,72130.0,1529480.0,307.42,287.0,10.0,15.0,15.0,1958.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
54,23765850.0,13135.0,361710.0,131.08,131.0,10.0,15.0,15.0,1935.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
59,49698900.0,63805.0,320665.0,191.08,191.08,10.0,15.0,15.0,1907.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
61,16934850.0,17025.0,180646.0,96.33,96.33,10.0,15.0,15.0,1900.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
62,29257650.0,28814.0,434220.0,162.33,152.0,10.0,15.0,15.0,1900.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
63,84184200.0,48071.0,809401.0,202.92,203.0,10.0,15.0,15.0,1921.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
64,28481400.0,13465.0,335746.0,75.0,75.0,10.0,15.0,15.0,1931.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
65,103923450.0,64633.0,1202417.0,180.67,0.0,10.0,15.0,15.0,1902.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
67,7381350.0,83100.0,28732.0,77.0,40.0,10.0,10.0,10.0,1910.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
69,35468100.0,64432.0,114100.0,214.0,0.0,0.0,0.0,0.0,1997.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
71,18171000.0,31141.0,239165.0,200.0,198.0,0.0,0.0,0.0,1998.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
72,17366850.0,29700.0,230766.0,198.0,0.0,0.0,0.0,0.0,1998.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
73,22563900.0,24337.0,134082.0,199.0,0.0,0.0,0.0,0.0,2008.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
74,155637000.0,220732.0,1881621.0,257.17,257.0,0.0,0.0,0.0,1983.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
75,146560050.0,94530.0,1501878.0,468.0,112.0,0.0,0.0,0.0,1986.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
76,202541400.0,199346.0,2267925.0,489.0,125.0,0.0,0.0,0.0,1987.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
77,193927500.0,82617.0,2233692.0,250.24,125.0,0.0,0.0,0.0,1986.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
78,206328600.0,103028.0,2084079.0,343.0,125.0,0.0,0.0,0.0,1986.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
80,55828350.0,16653.0,356786.0,71.0,71.0,0.0,0.0,0.0,2002.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
81,41383800.0,14451.0,278142.0,196.0,196.0,0.0,0.0,0.0,2004.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
82,47582100.0,18270.0,356483.0,196.0,0.0,0.0,0.0,0.0,2004.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
83,52859250.0,38225.0,484000.0,141.75,202.0,0.0,0.0,0.0,1998.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
84,48675600.0,19600.0,239185.0,196.0,0.0,0.0,0.0,0.0,1998.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
85,43272000.0,10292.0,357000.0,100.0,0.0,0.0,0.0,0.0,1998.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
86,65853900.0,60085.0,450000.0,371.69,371.69,0.0,0.0,0.0,1989.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
88,27320400.0,6323.0,244617.0,73.42,135.25,0.0,0.0,0.0,1998.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
89,63526950.0,42342.0,502000.0,286.17,286.0,0.0,0.0,0.0,1997.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
90,316388250.0,97076.0,2152863.0,286.68,200.0,0.0,0.0,0.0,2006.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
91,28020167.0,16951.0,179174.0,133.0,0.0,0.0,0.0,0.0,1985.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
92,18083695.0,27838.0,123284.0,287.38,287.0,0.0,0.0,0.0,1986.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
93,14093106.0,12644.0,86763.0,121.83,0.0,0.0,0.0,0.0,1985.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
94,11582106.0,16108.0,72913.0,133.58,0.0,0.0,0.0,0.0,1986.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
95,35271447.0,23910.0,203837.0,160.0,0.0,0.0,0.0,0.0,1987.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
96,13746603.0,15000.0,81667.0,174.28,0.0,0.0,0.0,0.0,1985.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
